Tipo de inmueble,Delegaci√≥,Precio,¡rea total en metros cuadrados,¡rea construida en metros cuadrados,Precio por metro cuadrado,Latitud,Longitud
departamento,Azcapotzalco,598535.93,75,75,8053.333333,19.417028,-99.065176
departamento,Coyoac√°,1039211.75,302,302,3471.688742,19.462425,-99.17654
casa,Tlalpan,3369242.59,80,80,42500,19.306092,-99.113431
departamento,Cuauht√©mo,2010975.1,105,105,19326.98095,19.286214,-99.222026
casa,¡lvaro ObregÛn,2358469.85,250,250,9520,19.408904,-99.174556
departamento,Cuajimalpa,15046800,446,446,1793.721973,19.337902,-99.236776
departamento,Azcapotzalco,909219.25,49,49,18720.44898,19.390415,-99.254997
casa,¡lvaro ObregÛn,2565579.08,290,290,8927.586207,19.484102,-99.18436
departamento,Azcapotzalco,1337787.47,75,75,18000,19.353288,-99.244721
departamento,Iztapalapa,577726.02,56,56,10410.71429,19.474885,-99.188231
departamento,¡lvaro ObregÛn,4240390.05,93,93,46011.82796,19.36994,-99.007399
departamento,¡lvaro ObregÛn,2664850.91,300,300,8963.926667,19.358585,-99.185753
departamento,Benito Ju√°re,1032573.67,70,70,14885.71429,19.337013,-99.197613
departamento,Cuajimalpa,4360196.25,162,162,27160.49383,19.379525,-99.188914
departamento,Iztacalco,1280312.08,80,80,16150,19.35735,-99.299792
departamento,Benito Ju√°re,7828534.43,150,150,52666.66667,19.400731,-99.125466
departamento,Benito Ju√°re,5167307.91,98,98,52727.63173,19.371992,-99.157853
departamento,Cuauht√©mo,4014314.33,110,110,36818.18182,19.390283,-99.1770974
departamento,Cuajimalpa,1689576.01,44,44,38750,19.4124708,-99.1717827
casa,¡lvaro ObregÛn,10927180.26,307,307,35918.34853,19.3563182,-99.2882606
departamento,Miguel Hidalgo,3295842.6,80,80,41574.125,19.371502,-99.232647
casa,Xochimilco,4090965.92,176,176,23450.75568,19.428324,-99.176337
casa,La Magdalena Contreras,3780488.37,527,527,7173.60222,19.272594,-99.137045
departamento,Azcapotzalco,862129.72,70,70,12428.57143,19.29813449,-99.23958041
casa,Azcapotzalco,2774670.35,110,110,25454.54545,19.480501,-99.178139
departamento,Tlalpan,2543381.66,64,64,40103.125,19.472634,-99.197437
departamento,Cuauht√©mo,1169325.38,81,81,14567.90123,19.288275,-99.167125
departamento,Azcapotzalco,1050410.9,60,60,17666.66667,19.352528,-99.217276
departamento,Iztacalco,1853083.38,78,78,23974.35897,19.484102,-99.18436
departamento,Azcapotzalco,1417694.07,90,90,15895.95556,19.402752,-99.098587
departamento,Cuauht√©mo,7929509.74,175,175,45714.28571,19.465454,-99.162665
departamento,Benito Ju√°re,4212551.97,108,108,39351.85185,19.4114169,-99.1739405
departamento,Venustiano Carranza,929514.56,48,48,19541.66667,19.3853063,-99.1521292
